"name","url","addr","rank","cost","cost.instate","cost.ostate","enroll","type","state","city"
"Princeton University","www.usnews.com/best-colleges/princeton-university-2627","Princeton, NJ",1,47140,47140,47140,5400,"private","NJ","Princeton"
"Harvard University","www.usnews.com/best-colleges/harvard-university-2155","Cambridge, MA",2,48949,48949,48949,6710,"private","MA","Cambridge"
"University of Chicago","www.usnews.com/best-colleges/university-of-chicago-1774","Chicago, IL",3,54825,54825,54825,5941,"private","IL","Chicago"
"Yale University","www.usnews.com/best-colleges/yale-university-1426","New Haven, CT",3,51400,51400,51400,5472,"private","CT","New Haven"
"Columbia University","www.usnews.com/best-colleges/columbia-university-2707","New York, NY",5,57208,57208,57208,6113,"private","NY","New York"
"Massachusetts Institute of Technology","www.usnews.com/best-colleges/mit-2178","Cambridge, MA",5,49892,49892,49892,4524,"private","MA","Cambridge"
"Stanford University","www.usnews.com/best-colleges/stanford-1305","Stanford, CA",5,49617,49617,49617,7034,"private","CA","Stanford"
"University of Pennsylvania","www.usnews.com/best-colleges/university-of-pennsylvania-3378","Philadelphia, PA",8,53534,53534,53534,10019,"private","PA","Philadelphia"
"Duke University","www.usnews.com/best-colleges/duke-university-2920","Durham, NC",9,53744,53744,53744,6609,"private","NC","Durham"
"California Institute of Technology","www.usnews.com/best-colleges/cal-tech-1131","Pasadena, CA",10,49908,49908,49908,979,"private","CA","Pasadena"
"Dartmouth College","www.usnews.com/best-colleges/dartmouth-college-2573","Hanover, NH",11,52950,52950,52950,4310,"private","NH","Hanover"
"Johns Hopkins University","www.usnews.com/best-colleges/jhu-2077","Baltimore, MD",11,52170,52170,52170,6117,"private","MD","Baltimore"
"Northwestern University","www.usnews.com/best-colleges/northwestern-1739","Evanston, IL",11,52678,52678,52678,8353,"private","IL","Evanston"
"Brown University","www.usnews.com/best-colleges/brown-university-3401","Providence, RI",14,53419,53419,53419,6926,"private","RI","Providence"
"Cornell University","www.usnews.com/best-colleges/cornell-university-2711","Ithaca, NY",14,52853,52853,52853,14566,"private","NY","Ithaca"
"Rice University","www.usnews.com/best-colleges/rice-3604","Houston, TX",14,45608,45608,45608,3893,"private","TX","Houston"
"Vanderbilt University","www.usnews.com/best-colleges/vanderbilt-3535","Nashville, TN",14,47664,47664,47664,6871,"private","TN","Nashville"
"University of Notre Dame","www.usnews.com/best-colleges/notre-dame-1840","Notre Dame, IN",18,51505,51505,51505,8530,"private","IN","Notre Dame"
"Washington University in St. Louis","www.usnews.com/best-colleges/washington-university-st-louis-2520","St. Louis, MO",18,51533,51533,51533,7540,"private","MO","St. Louis"
"Georgetown University","www.usnews.com/best-colleges/georgetown-university-1445","Washington, DC",20,52300,52300,52300,7453,"private","DC","Washington"
"Emory University","www.usnews.com/best-colleges/emory-university-1564","Atlanta, GA",21,49392,49392,49392,6861,"private","GA","Atlanta"
"University of California--Berkeley","www.usnews.com/best-colleges/uc-berkeley-1312","Berkeley, CA",21,42112,14098,42112,29311,"state","CA","Berkeley"
"University of California--Los Angeles","www.usnews.com/best-colleges/ucla-1315","Los Angeles, CA",21,41270,13256,41270,30873,"state","CA","Los Angeles"
"University of Southern California","www.usnews.com/best-colleges/usc-1328","Los Angeles, CA",21,54259,54259,54259,18794,"private","CA","Los Angeles"
"Carnegie Mellon University","www.usnews.com/best-colleges/carnegie-mellon-university-3242","Pittsburgh, PA",25,53910,53910,53910,6673,"private","PA","Pittsburgh"
"University of Virginia","www.usnews.com/best-colleges/uva-6968","Charlottesville, VA",25,46975,16146,46975,16331,"state","VA","Charlottesville"
"Wake Forest University","www.usnews.com/best-colleges/wake-forest-2978","Winston-Salem, NC",27,51400,51400,51400,4955,"private","NC","Winston-Salem"
"University of Michigan--Ann Arbor","www.usnews.com/best-colleges/university-of-michigan-9092","Ann Arbor, MI",28,47476,14826,47476,28983,"state","MI","Ann Arbor"
"Tufts University","www.usnews.com/best-colleges/tufts-university-2219","Medford, MA",29,54318,54318,54318,5508,"private","MA","Medford"
"New York University","www.usnews.com/best-colleges/nyu-2785","New York, NY",30,50464,50464,50464,26135,"private","NY","New York"
"University of North Carolina--Chapel Hill","www.usnews.com/best-colleges/unc-2974","Chapel Hill, NC",30,34588,9005,34588,18523,"state","NC","Chapel Hill"
"Boston College","www.usnews.com/best-colleges/boston-college-2128","Chestnut Hill, MA",32,53346,53346,53346,9309,"private","MA","Chestnut Hill"
"College of William &amp; Mary","www.usnews.com/best-colleges/william-and-mary-3705","Williamsburg, VA",32,43099,20287,43099,6276,"state","VA","Williamsburg"
"Brandeis University","www.usnews.com/best-colleges/brandeis-university-2133","Waltham, MA",34,53582,53582,53582,3608,"private","MA","Waltham"
"Georgia Institute of Technology","www.usnews.com/best-colleges/georgia-tech-1569","Atlanta, GA",34,33014,12418,33014,15489,"state","GA","Atlanta"
"University of Rochester","www.usnews.com/best-colleges/university-of-rochester-2894","Rochester, NY",34,52020,52020,52020,6386,"private","NY","Rochester"
"Boston University","www.usnews.com/best-colleges/boston-university-2130","Boston, MA",37,52082,52082,52082,17944,"private","MA","Boston"
"Case Western Reserve University","www.usnews.com/best-colleges/case-western-reserve-university-3024","Cleveland, OH",37,47500,47500,47500,5152,"private","OH","Cleveland"
"University of California--Santa Barbara","www.usnews.com/best-colleges/ucsb-1320","Santa Barbara, CA",37,42423,14409,42423,21574,"state","CA","Santa Barbara"
"Northeastern University","www.usnews.com/best-colleges/northeastern-university-2199","Boston, MA",40,49497,49497,49497,13473,"private","MA","Boston"
"Tulane University","www.usnews.com/best-colleges/tulane-university-2029","New Orleans, LA",40,52960,52960,52960,6377,"private","LA","New Orleans"
"Rensselaer Polytechnic Institute","www.usnews.com/best-colleges/rpi-2803","Troy, NY",42,52305,52305,52305,6265,"private","NY","Troy"
"University of California--Irvine","www.usnews.com/best-colleges/uc-irvine-1314","Irvine, CA",42,43530,15516,43530,27331,"state","CA","Irvine"
"University of California--San Diego","www.usnews.com/best-colleges/ucsd-1317","La Jolla, CA",42,44197,16183,44197,28127,"state","CA","La Jolla"
"University of Florida","www.usnews.com/best-colleges/university-of-florida-1535","Gainesville, FL",42,28658,6381,28658,34554,"state","FL","Gainesville"
"Lehigh University","www.usnews.com/best-colleges/lehigh-university-3289","Bethlehem, PA",46,50740,50740,50740,5080,"private","PA","Bethlehem"
"Pepperdine University","www.usnews.com/best-colleges/pepperdine-university-1264","Malibu, CA",46,51992,51992,51992,3542,"private","CA","Malibu"
"University of California--Davis","www.usnews.com/best-colleges/uc-davis-1313","Davis, CA",46,42396,14382,42396,29546,"state","CA","Davis"
"University of Miami","www.usnews.com/best-colleges/university-of-miami-1536","Coral Gables, FL",46,48484,48484,48484,10849,"private","FL","Coral Gables"
"University of Wisconsin--Madison","www.usnews.com/best-colleges/university-of-wisconsin-3895","Madison, WI",46,34782,10533,34782,31710,"state","WI","Madison"
"Villanova University","www.usnews.com/best-colleges/villanova-3388","Villanova, PA",46,51434,51434,51434,6999,"private","PA","Villanova"
"Pennsylvania State University--University Park","www.usnews.com/best-colleges/penn-state-6965","University Park, PA",52,33664,18436,33664,41359,"state","PA","University Park"
"University of Illinois--Urbana-Champaign","www.usnews.com/best-colleges/uiuc-1775","Champaign, IL",52,31988,15868,31988,33932,"state","IL","Champaign"
"Ohio State University--Columbus","www.usnews.com/best-colleges/ohio-state-6883","Columbus, OH",54,29659,10591,29659,45831,"state","OH","Columbus"
"University of Georgia","www.usnews.com/best-colleges/university-of-georgia-1598","Athens, GA",54,30392,11818,30392,27951,"state","GA","Athens"
"George Washington University","www.usnews.com/best-colleges/gwu-1444","Washington, DC",56,53518,53518,53518,11504,"private","DC","Washington"
