"name","st_to_fac","retention","class20","class49","class50"
"Princeton University",5,98,73,16.2,10.8
"Harvard University",7,97,74,16.1,9.9
"University of Chicago",5,99,77,17.3,5.7
"Yale University",6,99,75.2,16.4,8.4
"Columbia University",6,99,82.9,7.9,9.1
"Massachusetts Institute of Technology",3,98,69.6,17.8,12.6
"Stanford University",4,98,70.3,18.2,11.5
"University of Pennsylvania",6,98,69.7,19.9,10.4
"Duke University",6,97,71.4,22.1,6.5
"California Institute of Technology",3,97,67.4,23.9,8.7
"Dartmouth College",7,98,62.3,30.2,7.5
"Johns Hopkins University",7,97,73.6,16.2,10.2
"Northwestern University",7,98,77.4,16.6,6
"Brown University",7,98,67.8,21.2,11
"Cornell University",9,97,58,24.5,17.5
"Rice University",6,97,70.8,21.3,7.9
"Vanderbilt University",8,97,66.4,24.9,8.7
"University of Notre Dame",10,98,60.4,30.1,9.5
"Washington University in St. Louis",8,96,64.7,24.2,11.1
"Georgetown University",11,96,61.2,31.8,7
"Emory University",9,94,61.1,25.9,13.1
"University of California--Berkeley",18,97,52.3,30.8,16.9
"University of California--Los Angeles",17,97,56.6,25,18.4
"University of Southern California",8,96,59.4,28.9,11.7
"Carnegie Mellon University",13,96,66.6,21.5,11.9
"University of Virginia",15,97,55.9,29.2,14.8
"Wake Forest University",10,94,58.6,40.3,1
"University of Michigan--Ann Arbor",15,97,59.9,23.2,16.9
"Tufts University",8,96,67.8,25.6,6.6
"New York University",10,93,59.9,31.4,8.7
"University of North Carolina--Chapel Hill",13,97,38.8,46.9,14.3
"Boston College",12,95,49.3,43.7,7
"College of William &amp; Mary",12,96,49.2,43.6,7.2
"Brandeis University",10,93,62.1,27.6,10.2
"Georgia Institute of Technology",20,97,38.3,35.8,26
"University of Rochester",10,96,71.4,16.9,11.7
"Boston University",10,93,61,25.8,13.2
"Case Western Reserve University",11,93,59.1,28.3,12.6
"University of California--Santa Barbara",17,93,48.8,31.7,19.5
"Northeastern University",14,97,67.1,26.5,6.4
"Tulane University",8,92,61.5,32.6,5.9
"Rensselaer Polytechnic Institute",13,93,52.8,34.1,13
"University of California--Irvine",18,92,57,22,20.9
"University of California--San Diego",19,95,36.3,27.9,35.8
"University of Florida",20,96,47.8,36.7,15.4
"Lehigh University",9,95,50.4,38.3,11.4
"Pepperdine University",14,92,69.4,28.2,2.4
"University of California--Davis",20,93,38,35.4,26.5
"University of Miami",12,92,54.3,39,6.7
"University of Wisconsin--Madison",18,95,44.3,34.7,21
"Villanova University",12,95,41.6,55.6,2.8
"Pennsylvania State University--University Park",16,93,28.3,52.7,19
"University of Illinois--Urbana-Champaign",20,94,40,39.5,20.5
"Ohio State University--Columbus",19,94,30.3,48.2,21.6
"University of Georgia",18,95,45.5,43.5,11
"George Washington University",13,92,51.4,38.3,10.2
"Purdue University--West Lafayette",12,92,38,43.7,18.3
"University of Connecticut",16,93,51.3,33.5,15.2
"University of Texas--Austin",18,95,34.6,39.2,26.2
"University of Washington",17,94,32.3,44.2,23.5
"Brigham Young University--Provo",21,88,54.6,31.2,14.2
"Fordham University",14,91,50,48.9,1.1
"Southern Methodist University",11,90,59.1,32.3,8.6
"Syracuse University",15,92,59,31.4,9.6
"University of Maryland--College Park",17,95,45.1,38.1,16.8
"Worcester Polytechnic Institute",13,96,65.1,24.6,10.3
"Clemson University",18,93,50.9,34.3,14.9
"University of Pittsburgh",15,92,41.1,39,20
"American University",12,89,52,46.7,1.3
