"name","major_rank","major","percent"
"Princeton University",1,"Public Policy Analysis, General",11
"Princeton University",2,"Computer Engineering, General",9
"Princeton University",3,"Econometrics and Quantitative Economics",9
"Princeton University",4,"History, General",7
"Princeton University",5,"Operations Research",6
"Harvard University",1,"Social Sciences, General",30
"Harvard University",2,"Biology/Biological Sciences, General",14
"Harvard University",3,"Mathematics, General",11
"Harvard University",4,"History, General",8
"Harvard University",5,"Physical Sciences",7
"University of Chicago",1,"Economics, General",20
"University of Chicago",2,"Biology/Biological Sciences, General",9
"University of Chicago",3,"Mathematics, General",8
"University of Chicago",4,"Political Science and Government, General",7
"University of Chicago",5,"Public Policy Analysis, General",6
"Yale University",1,"Economics, General",15
"Yale University",2,"Political Science and Government, General",9
"Yale University",3,"History, General",7
"Yale University",4,"Psychology, General",7
"Yale University",5,"Cell/Cellular and Molecular Biology",6
"Columbia University",1,"Social Sciences",23
"Columbia University",2,"Engineering",21
"Columbia University",3,"Biological and Biomedical Sciences",10
"Columbia University",4,"Computer and Information Sciences and Support Services",7
"Columbia University",5,"Visual and Performing Arts",5
"Massachusetts Institute of Technology",1,"Engineering",38
"Massachusetts Institute of Technology",2,"Computer and Information Sciences and Support Services",25
"Massachusetts Institute of Technology",3,"Mathematics and Statistics",9
"Massachusetts Institute of Technology",4,"Biological and Biomedical Sciences",8
"Massachusetts Institute of Technology",5,"Physical Sciences",8
"Stanford University",1,"Computer and Information Sciences and Support Services",15
"Stanford University",2,"Multi/Interdisciplinary Studies",9
"Stanford University",3,"Biological and Biomedical Sciences",6
"Stanford University",4,"Social Sciences",6
"Stanford University",5,"Engineering",6
"University of Pennsylvania",1,"Finance, General",11
"University of Pennsylvania",2,"Registered Nursing/Registered Nurse",6
"University of Pennsylvania",3,"Economics, General",6
"University of Pennsylvania",4,"Biology/Biological Sciences, General",5
"University of Pennsylvania",5,"Political Science and Government, General",4
"Duke University",1,"Biology/Biological Sciences, General",11
"Duke University",2,"Economics, General",11
"Duke University",3,"Public Policy Analysis, General",9
"Duke University",4,"Psychology, General",7
"Duke University",5,"Bioengineering and Biomedical Engineering",6
"California Institute of Technology",1,"Engineering",37
"California Institute of Technology",2,"Computer and Information Sciences and Support Services",23
"California Institute of Technology",3,"Physical Sciences",18
"California Institute of Technology",4,"Mathematics and Statistics",14
"California Institute of Technology",5,"Biological and Biomedical Sciences",7
"Dartmouth College",1,"Social Sciences",35
"Dartmouth College",2,"Biological and Biomedical Sciences",10
"Dartmouth College",3,"Engineering",8
"Dartmouth College",4,"History",6
"Dartmouth College",5,"Psychology",6
"Johns Hopkins University",1,"Public Health, General",10
"Johns Hopkins University",2,"Bioengineering and Biomedical Engineering",9
"Johns Hopkins University",3,"Cell/Cellular and Molecular Biology",7
"Johns Hopkins University",4,"Neuroscience",7
"Johns Hopkins University",5,"International Relations and Affairs",6
"Northwestern University",1,"Economics, General",15
"Northwestern University",2,"Psychology, General",6
"Northwestern University",3,"Biology/Biological Sciences, General",6
"Northwestern University",4,"Journalism",5
"Northwestern University",5,"Political Science and Government, General",5
"Brown University",1,"Economics, General",9
"Brown University",2,"Computer Science",8
"Brown University",3,"Biology/Biological Sciences, General",7
"Brown University",4,"Entrepreneurship/Entrepreneurial Studies",6
"Brown University",5,"Political Science and Government, General",5
"Cornell University",1,"Engineering",17
"Cornell University",2,"Business, Management, Marketing, and Related Support Services",15
"Cornell University",3,"Biological and Biomedical Sciences",14
"Cornell University",4,"Agriculture, Agriculture Operations, and Related Sciences",12
"Cornell University",5,"Social Sciences",9
"Rice University",1,"Biochemistry",8
