"name","data_id","value"
"Princeton University","W_ROOM_BOARD",15610
"Princeton University","FT_TUITION_CREDITS_MIN",NA
"Princeton University","FT_TUITION_CREDITS_MAX",NA
"Princeton University","AVG_LINEC_NEED_GIFT_FT_FY",49870
"Princeton University","PCT_RECV_GRANTS_FT_FY",60
"Princeton University","AVG_NONNEED_AWARD_FT_FY",NA
"Princeton University","AVG_NONNEED_ATHLET_FT_FY",NA
"Princeton University","V_FIN_NBASED_SCH",NA
"Princeton University","AVG_LINEC_NEED_GIFT_FT_FY",49870
"Princeton University","V_GI_BILL",NA
"Princeton University","AVG_GRAD_DEBT",8908
"Princeton University","PCT_INCURED_DEBT",18
"Princeton University","V_FIN_NBASED_SCH",NA
"Princeton University","V_FIN_DEADLINE_FILL",NA
"Princeton University","AVG_LINEC_NEED_SELF_HELP_FT_FY",1520
"Princeton University","PCT_SELF_HELP_FT_FY",60
"Princeton University","AVG_LINEC_NEED_SELF_HELP_FT_FY",1520
"Princeton University","PCT_SELF_HELP_FT_FY",60
"Princeton University","applied_need_based",65.4
"Princeton University","need_fully_met",100
"Princeton University","need_based_fin_aid",60
"Princeton University","need_based_self_aid",59.5
"Princeton University","average_pct_need_met",100
"Harvard University","W_ROOM_BOARD",16660
"Harvard University","FT_TUITION_CREDITS_MIN",NA
"Harvard University","FT_TUITION_CREDITS_MAX",NA
"Harvard University","AVG_LINEC_NEED_GIFT_FT_FY",53083
"Harvard University","PCT_RECV_GRANTS_FT_FY",55
"Harvard University","AVG_NONNEED_AWARD_FT_FY",5000
"Harvard University","AVG_NONNEED_ATHLET_FT_FY",0
"Harvard University","V_FIN_NBASED_SCH",NA
"Harvard University","AVG_LINEC_NEED_GIFT_FT_FY",53083
"Harvard University","V_GI_BILL",0
"Harvard University","AVG_GRAD_DEBT",16702
"Harvard University","PCT_INCURED_DEBT",23
"Harvard University","V_FIN_NBASED_SCH",NA
"Harvard University","V_FIN_DEADLINE_FILL",NA
