"name","data_id","year","item","location","value"
"Princeton University","MURD_PY3_ON_CAMPUS","MURD","PY3","ON_CAMPUS",0
"Princeton University","MURD_PY2_ON_CAMPUS","MURD","PY2","ON_CAMPUS",0
"Princeton University","MURD_PY1_ON_CAMPUS","MURD","PY1","ON_CAMPUS",0
"Princeton University","NEG_M_PY3_ON_CAMPUS","NEG_M","PY3","ON_CAMPUS",0
"Princeton University","NEG_M_PY2_ON_CAMPUS","NEG_M","PY2","ON_CAMPUS",0
"Princeton University","NEG_M_PY1_ON_CAMPUS","NEG_M","PY1","ON_CAMPUS",0
"Princeton University","RAPE_PY3_ON_CAMPUS","RAPE","PY3","ON_CAMPUS",NA
"Princeton University","RAPE_PY2_ON_CAMPUS","RAPE","PY2","ON_CAMPUS",4
"Princeton University","RAPE_PY1_ON_CAMPUS","RAPE","PY1","ON_CAMPUS",6
"Princeton University","INCES_PY3_ON_CAMPUS","INCES","PY3","ON_CAMPUS",NA
"Princeton University","INCES_PY2_ON_CAMPUS","INCES","PY2","ON_CAMPUS",0
"Princeton University","INCES_PY1_ON_CAMPUS","INCES","PY1","ON_CAMPUS",0
"Princeton University","STATR_PY3_ON_CAMPUS","STATR","PY3","ON_CAMPUS",NA
"Princeton University","STATR_PY2_ON_CAMPUS","STATR","PY2","ON_CAMPUS",0
"Princeton University","STATR_PY1_ON_CAMPUS","STATR","PY1","ON_CAMPUS",0
"Princeton University","FONDL_PY3_ON_CAMPUS","FONDL","PY3","ON_CAMPUS",NA
"Princeton University","FONDL_PY2_ON_CAMPUS","FONDL","PY2","ON_CAMPUS",2
"Princeton University","FONDL_PY1_ON_CAMPUS","FONDL","PY1","ON_CAMPUS",3
"Princeton University","FORCIB_PY3_ON_CAMPUS","FORCIB","PY3","ON_CAMPUS",5
"Princeton University","FORCIB_PY2_ON_CAMPUS","FORCIB","PY2","ON_CAMPUS",NA
"Princeton University","FORCIB_PY1_ON_CAMPUS","FORCIB","PY1","ON_CAMPUS",NA
"Princeton University","NONFOR_PY3_ON_CAMPUS","NONFOR","PY3","ON_CAMPUS",0
"Princeton University","NONFOR_PY2_ON_CAMPUS","NONFOR","PY2","ON_CAMPUS",NA
"Princeton University","NONFOR_PY1_ON_CAMPUS","NONFOR","PY1","ON_CAMPUS",NA
"Princeton University","ROBBE_PY3_ON_CAMPUS","ROBBE","PY3","ON_CAMPUS",0
"Princeton University","ROBBE_PY2_ON_CAMPUS","ROBBE","PY2","ON_CAMPUS",0
"Princeton University","ROBBE_PY1_ON_CAMPUS","ROBBE","PY1","ON_CAMPUS",0
"Princeton University","AGG_A_PY3_ON_CAMPUS","AGG_A","PY3","ON_CAMPUS",0
"Princeton University","AGG_A_PY2_ON_CAMPUS","AGG_A","PY2","ON_CAMPUS",0
"Princeton University","AGG_A_PY1_ON_CAMPUS","AGG_A","PY1","ON_CAMPUS",1
"Princeton University","BURGLA_PY3_ON_CAMPUS","BURGLA","PY3","ON_CAMPUS",41
"Princeton University","BURGLA_PY2_ON_CAMPUS","BURGLA","PY2","ON_CAMPUS",32
"Princeton University","BURGLA_PY1_ON_CAMPUS","BURGLA","PY1","ON_CAMPUS",24
"Princeton University","VEHIC_PY3_ON_CAMPUS","VEHIC","PY3","ON_CAMPUS",4
"Princeton University","VEHIC_PY2_ON_CAMPUS","VEHIC","PY2","ON_CAMPUS",14
"Princeton University","VEHIC_PY1_ON_CAMPUS","VEHIC","PY1","ON_CAMPUS",9
"Princeton University","ARSON_PY3_ON_CAMPUS","ARSON","PY3","ON_CAMPUS",1
"Princeton University","ARSON_PY2_ON_CAMPUS","ARSON","PY2","ON_CAMPUS",1
"Princeton University","ARSON_PY1_ON_CAMPUS","ARSON","PY1","ON_CAMPUS",1
"Princeton University","MURD_PY3_HOUSING","MURD","PY3","HOUSING",0
"Princeton University","MURD_PY2_HOUSING","MURD","PY2","HOUSING",0
"Princeton University","MURD_PY1_HOUSING","MURD","PY1","HOUSING",0
"Princeton University","NEG_M_PY3_HOUSING","NEG_M","PY3","HOUSING",0
"Princeton University","NEG_M_PY2_HOUSING","NEG_M","PY2","HOUSING",0
"Princeton University","NEG_M_PY1_HOUSING","NEG_M","PY1","HOUSING",0
"Princeton University","RAPE_PY3_HOUSING","RAPE","PY3","HOUSING",NA
"Princeton University","RAPE_PY2_HOUSING","RAPE","PY2","HOUSING",2
"Princeton University","RAPE_PY1_HOUSING","RAPE","PY1","HOUSING",3
"Princeton University","INCES_PY3_HOUSING","INCES","PY3","HOUSING",NA
"Princeton University","INCES_PY2_HOUSING","INCES","PY2","HOUSING",0
"Princeton University","INCES_PY1_HOUSING","INCES","PY1","HOUSING",0
"Princeton University","STATR_PY3_HOUSING","STATR","PY3","HOUSING",NA
"Princeton University","STATR_PY2_HOUSING","STATR","PY2","HOUSING",0
"Princeton University","STATR_PY1_HOUSING","STATR","PY1","HOUSING",0
"Princeton University","FONDL_PY3_HOUSING","FONDL","PY3","HOUSING",NA
"Princeton University","FONDL_PY2_HOUSING","FONDL","PY2","HOUSING",2
"Princeton University","FONDL_PY1_HOUSING","FONDL","PY1","HOUSING",3
"Princeton University","FORCIB_PY3_HOUSING","FORCIB","PY3","HOUSING",4
"Princeton University","FORCIB_PY2_HOUSING","FORCIB","PY2","HOUSING",NA
"Princeton University","FORCIB_PY1_HOUSING","FORCIB","PY1","HOUSING",NA
"Princeton University","NONFOR_PY3_HOUSING","NONFOR","PY3","HOUSING",0
"Princeton University","NONFOR_PY2_HOUSING","NONFOR","PY2","HOUSING",NA
"Princeton University","NONFOR_PY1_HOUSING","NONFOR","PY1","HOUSING",NA
"Princeton University","ROBBE_PY3_HOUSING","ROBBE","PY3","HOUSING",0
"Princeton University","ROBBE_PY2_HOUSING","ROBBE","PY2","HOUSING",0
"Princeton University","ROBBE_PY1_HOUSING","ROBBE","PY1","HOUSING",0
"Princeton University","AGG_A_PY3_HOUSING","AGG_A","PY3","HOUSING",0
"Princeton University","AGG_A_PY2_HOUSING","AGG_A","PY2","HOUSING",0
"Princeton University","AGG_A_PY1_HOUSING","AGG_A","PY1","HOUSING",0
"Princeton University","BURGLA_PY3_HOUSING","BURGLA","PY3","HOUSING",19
"Princeton University","BURGLA_PY2_HOUSING","BURGLA","PY2","HOUSING",12
"Princeton University","BURGLA_PY1_HOUSING","BURGLA","PY1","HOUSING",10
